Source,Title,Year,Authors,keyword_citation,Data_extracted,Are,the,results,of,the,review,valid?,"Did	the	authors	look for	the
right	type of	papers?",Is,it,worth,continuing?,"Did        the        review’s        authors        do
enough to        assess        quality        of
the        included        studies?","If        the        results        of        the        review
have        been        combined,        was        it
reasonable        to        do        so?",What,are,the,results?,How        precise        are        the        results?,"Can        the        results        be        applied        to        
the        local        population?","Were	all	important	outcomes	
considered?"
Rayyan,Team Harry Friberg at SemEval-2019 Task 4: Identifying Hyperpartisan News through Editorially Defined Metatopics - Proceedings of the 13th International Workshop on Semantic Evaluation - Proceedings of the 13th International Workshop on Semantic Evaluation,2019,"Afsarmanesh, Nazanin and Karlgren, Jussi and Sumbler, Peter and Viereckel, Nina",afsarmanesh_team_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Doris Martin at SemEval-2019 task 4: Hyperpartisan news detection with generic semi-supervised features,2019,"Agerri, R.",agerri_doris_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Semisupervised Federated Learning for Temporal News Hyperpatism Detection,2023,"Ahmed, Usman and Lin, Jerry Chun-Wei and Srivastava, Gautam",ahmed_semisupervised_2023,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Temporal positional lexicon expansion for federated learning based on hyperpatism detection,2023,"Ahmed, Usman and Lin, Jerry Chun-Wei and Srivastava, Gautam",ahmed_temporal_2023,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Fine-grained Classification of Political Bias in German News: A Data Set and Initial Experiments,2021,"Aksenov, D. and Bourgonje, P. and Zaczynska, K. and Ostendorff, M. and Moreno-Schneider, J. and Rehm, G.",aksenov_fine-grained_2021,dataset + results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Spider-Jerusalem at SemEval-2019 task 4: Hyperpartisan news detection,2019,"Alabdulkarim, A. and Alhindi, T.",alabdulkarim_spider-jerusalem_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Ideology Detection of Personalized Political News Coverage: A New Dataset,2020,"Alzhrani, Khudran",alzhrani_ideology_2020,dataset,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Harvey Mudd College at SemEval-2019 task 4: The D.X. Beaumont hyperpartisan news detector,2019,"Amason, E. and Palanker, J. and Shen, M.C. and Medero, J.",amason_harvey_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Team Kermit-the-frog at SemEval-2019 task 4: Bias detection through sentiment analysis and simple linguistic features,2019,"Anthonio, T. and Kloppenburg, L.",anthonio_team_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Frank at checkthat! 2023: Detecting the political bias of news articles and news media,2023,"Azizov, Dilshod and Liang, S and Nakov, P",azizov_notebook_2023,dataset + results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Multi-task ordinal regression for jointly predicting the trustworthiness and the leading political ideology of news media,2019,"Baly, R. and Karadzhov, G. and Saleh, A. and Glass, J. and Nakov, P.",baly_multi-task_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,We can detect your bias: Predicting the political ideology of news articles,2020,"Baly, Ramy and Martino, Giovanni Da San and Glass, James and Nakov, Preslav",baly_we_2020,dataset + results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Tintin at SemEval-2019 task 4: Detecting hyperpartisan news article with only simple tokens,2019,"Bestgen, Y.",bestgen_tintin_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Fermi at SemEval-2019 task 4: The Sarah-Jane-Smith Hyperpartisan news detector,2019,"Chakravartula, N. and Indurthi, V. and Syed, B.",chakravartula_fermi_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Harvey Mudd College at SemEval-2019 task 4: The Carl Kolchak Hyperpartisan News Detector,2019,"Chen, C. and Park, C. and Dwyer, J. and Medero, J.",chen_harvey_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Team Kit Kittredge at SemEval-2019 task 4: LSTM voting system,2019,"Cramerus, R. and Scheffler, T.",cramerus_team_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,On document representations for detection of biased news articles,2020,"Cruz, A.F. and Rocha, G. and Cardoso, H.L.",cruz_document_2020,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Team Fernando-Pessa at SemEval-2019 task 4: Back to basics in hyperpartisan news detection,2019,"Cruz, A.F. and Rocha, G. and Sousa-Silva, R. and Cardoso, H.L.",cruz_team_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Politically-oriented information inference from text,2023,"da Silva, Samuel Caetano and Paraboni, Iv and re",da_silva_politically-oriented_2023,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Harvey Mudd College at SemEval-2019 task 4: The Clint Buchanan hyperpartisan news detector,2019,"Drissi, M. and S and oval, P. and Ojha, V. and Medero, J.",drissi_harvey_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Fake and Hyper-partisan News Identification. - RoCHI - RoCHI,2019,"Dumitru, Vlad Cristian and Rebedea, Traian",dumitru_fake_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Topic-based Models with Fact Checking for Fake News Identification. - RoCHI - RoCHI,2021,"Dumitru, Vlad Cristian and Rebedea, Traian",university_politehnica_of_bucharest_topic-based_2021,dataset,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Role of ELMo Embedding in Detecting Fake News on Social Media - 2022 11th International Conference on System Modeling \& Advancement in Research Trends (SMART) - 2022 11th International Conference on System Modeling \& Advancement in Research Trends (SMART),2022,"Garg, Sonal and Sharma, Dilip Kumar",garg_role_2022,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,The POLUSA Dataset: 0.9M Political News Articles Balanced by Time and Outlet Popularity,2020,"Gebhard, Lukas and Hamborg, Felix",gebhard_polusa_2020,dataset,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Clark Kent at SemEval-2019 task 4: Stylometric insights into hyperpartisan news detection,2019,"Gupta, V. and Jolly, B.L.K. and Kaur, R. and Chakraborty, T.",gupta_clark_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,The Sally Smedley Hyperpartisan News Detector at SemEval-2019 task 4: Learning classifiers with feature combinations and ensembling,2019,"Hanawa, K. and Sasaki, S. and Ouchi, H. and Suzuki, J. and Inui, K.",hanawa_sally_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Hyperpartisan news classification with elmo and bias feature,2021,"HUANG, G.K.W. and LEE, J.C.",gerald_ki_wei_huang_hyperpartisan_2021,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Hyperpartisan news and articles detection using BERT and ELMo,2019,"Huang, G.K.W. and Lee, J.C.",huang_hyperpartisan_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Dick-Preston and Morbo at SemEval-2019 task 4: Transfer learning for hyperpartisan news detection,2019,"Isbister, T. and Johansson, F.",isbister_dick-preston_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Team Bertha von Suttner at SemEval-2019 task 4: Hyperpartisan news detection using ELMo sentence representation convolutional network,2019,"Jiang, Y. and Petrak, J. and Song, X. and Bontcheva, K. and Maynard, D.",jiang_team_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Steve Martin at SemEval-2019 task 4: Ensemble learning model for detecting hyperpartisan news,2019,"Joo, Y. and Hwang, I.",joo_steve_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Multi-Stage Prompt Tuning for Political Perspective Detection in Low-Resource Settings,2023,"Kang-Min, Kim and Lee, Mingyu and Won, Hyun-Sik and Min-Ji, Kim and Kim, Yeachan and Lee, SangKeun",kim_multi-stage_2023,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,SemEval-2019 task 4: Hyperpartisan news detection,2019,"Kiesel, J. and Mestre, M. and Shukla, R. and Vincent, E. and Adineh, P. and Corney, D. and Stein, B. and Potthast, M.",kiesel_semeval-2019_2019,dataset,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,CLoSE: Contrastive Learning of Subframe Embeddings for Political Bias Classification of News Media - Proceedings of the 29th International Conference on Computational Linguistics - Proceedings of the 29th International Conference on Computational Linguistics,2022,"Kim, Michelle YoungJin and Johnson, Kristen",kim_close_2022,dataset + results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Orwellian-times at SemEval-2019 task 4: A stylistic and content-based classifier,2019,"Knauth, J.",knauth_orwellian-times_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,KHAN: Knowledge-Aware Hierarchical Attention Networks for Accurate Political Stance Prediction,2023,"Ko, Yunyong and Ryu, Seongeun and Han, Soeun and Jeon, Youngseung and Kim, Jaehoon and Park, Sohyun and Han, Kyungsik and Tong, Hanghang and Kim, Sang-Wook",ko_khan_2023,dataset + results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Team yeon-zi at SemEval-2019 task 4: Hyperpartisan news detection by de-noising weakly-labeled data,2019,"Lee, N. and Liu, Z. and Fung, P.",lee_team_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Creating a dataset for fine-grained bias detection in news articles - Forum on Data Engineering and Information Management - Forum on Data Engineering and Information Management,2020,"Lim, Sora and Jatowt, Adam and Masatoshi, Y",lim_creating_2020,dataset,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,POLITICS: pretraining with same-story article comparison for ideology prediction and stance detection,2022,"Liu, Yujian and Zhang, Xinliang Frederick and Wegsman, David and Beauchamp, Nick and Wang, Lu",liu_politics_2022,dataset + results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Computational Assessment of Hyperpartisanship in News Titles,2024,"Lyu, Hanjia and Pan, Jinsheng and Wang, Zichen and Luo, Jiebo",lyu2024computational,dataset + results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Rouletabille at SemEval-2019 task 4: Neural network baseline for identification of hyperpartisan publishers,2019,"Moreno, J.G. and Pitarch, Y. and Pinel-Sauvagnat, K. and Hubert, G.",moreno_rouletabille_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Team Howard Beale at SemEval-2019 task 4: Hyperpartisan news detection with BERT,2019,"Mutlu, O. and Can, O.A. and Dayanık, E.",mutlu_team_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,NELA-GT-2018: A large multi-labelled news dataset for the study of misinformation in news articles - Proceedings of the international AAAI conference on web and social media - Proceedings of the international AAAI conference on web and social media,2019,"N{\o}rregaard, Jeppe and Horne, Benjamin D and Adal{\i}, Sibel",Norregaard_NELA,dataset,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Detection of hyperpartisan news articles using natural language processing technique,2022,"Naredla, N.R. and Adedoyin, F.F.",naredla_detection_2022,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Team Peter-Parker at SemEval-2019 task 4: BERT-based method in hyperpartisan news detection,2019,"Ning, Z. and Lin, Y. and Zhong, R.",ning_team_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,TakeLab at SemEval-2019 task 4: Hyperpartisan news detection,2019,"Palić, N. and Vladika, J. and Čubelić, D. and Lovrenčić, I. and Buljan, M. and Šnajder, J.",palic_takelab_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Brenda Starr at SemEval-2019 task 4: Hyperpartisan news detection,2019,"Papadopoulou, O. and Kordopatis-Zilos, G. and Zampoglou, M. and Papadopoulos, S. and Kompatsiaris, Y.",papadopoulou_brenda_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Cardiff University at SemEval-2019 task 4: Linguistic features for hyperpartisan news detection,2019,"Pérez-Almendros, C. and Espinosa-Anke, L. and Schockaert, S.",perez-almendros_cardiff_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,HoaxItaly: a collection of Italian disinformation and fact-checking stories shared on Twitter in 2019,2020,"Pierri, Francesco and Artoni, Aless and ro and Ceri, Stefano",pierri_hoaxitaly_2020,dataset,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,A stylometric inquiry into hyperpartisan and fake news,2018,"Potthast, M. and Kiesel, J. and Reinartz, K. and Bevendorff, J. and Stein, B.",potthast_stylometric_2018,dataset + results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Weakly supervised learning of nuanced frames for analyzing polarization in news media,2020,"Roy, Shamik and Goldwasser, Dan",roy_weakly_2020,dataset + results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Bias Bubbles: Using Semi-Supervised Learning to Measure How Many Biased News Articles Are Around Us. - AICS - AICS,2021,"Ruan, Qin and Mac Namee, Brian and Dong, Ruihai",ruan_bias_2021,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Team QCRI-MIT at SemEval-2019 task 4: Propaganda analysis meets hyperpartisan news detection,2019,"Saleh, A. and Baly, R. and Barrón-Cedeño, A. and da San Martino, G. and Mohtarami, M. and Nakov, P. and Glass, J.",saleh_team_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,On the detection of political and social bias,2021,"Sánchez-Junquera, J.",snchez-junquera_detection_2021,dataset + results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Masking and Transformer-based Models for Hyperpartisanship Detection in News,2021,"Sánchez-Junquera, J. and Rosso, P. and Montes-Y-Gómez, M. and Ponzetto, S.P.",universitat_politecnica_de_valencia_spain_masking_2021,dataset + results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Duluth at SemEval-2019 Task 4: The Pioquinto Manterola Hyperpartisan News Detector - Proceedings of the 13th International Workshop on Semantic Evaluation - Proceedings of the 13th International Workshop on Semantic Evaluation,2019,"Sengupta, Saptarshi and Pedersen, Ted",sengupta_duluth_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Team JACK RYDER at SemEval-2019 task 4: Using BERT representations for detecting hyperpartisan news,2019,"Shaprin, D. and da San Martino, G. and Barrón-Cedeño, A. and Nakov, P.",shaprin_team_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Ideology detection in the indian mass media,2021,"Sharma, Ankur and Kaur, Navreet and Sen, Anirban and Seth, Aaditeshwar",sharma_ideology_2020,dataset + results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,From Fake to Hyperpartisan News Detection Using Domain Adaptation,2023,"Sm{\u{a}}du, R{\u{a}}zvan-Alex and ru and Echim, Sebastian-Vasile and Cercel, Dumitru-Clementin and Marin, Iuliana and Pop, Florin",smadu_fake_2023,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,An Automated News Bias Classifier Using Caenorhabditis Elegans Inspired Recursive Feedback Network Architecture,2022,"Sridharan, Agastya and others",sridharan_automated_2022,dataset + results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Vernon-fenwick at SemEval-2019 task 4: Hyperpartisan news detection using lexical and semantic features,2019,"Srivastava, V. and Sahoo, S.K. and Gupta, A. and Rohit, R.R. and Prakash, D. and Kim, Y.H.",srivastava_vernon-fenwick_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Team Ned Leeds at SemEval-2019 task 4: Exploring language indicators of hyperpartisan reporting,2019,"Stevanoski, B. and Gievska, S.",stevanoski_team_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Creation of Polish Online News Corpus for Political Polarization Studies,2022,"Szwoch, J. and Staszkow, M. and Rzepka, R. and Araki, K.",szwoch_creation_2022,dataset,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,How biased are American media outlets? A framework for presentation bias regression,2020,"Tran, M.",tran_how_2020,dataset + results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Tom Jumbo-Grumbo at SemEval-2019 task 4: Hyperpartisan news detection with GloVe vectors and SVM,2019,"Yeh, C.-L. and Loni, B. and Schuth, A.",yeh_tom_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Team Xenophilius Lovegood at SemEval-2019 task 4: Hyperpartisanship classification using convolutional neural networks,2019,"Zehe, A. and Hettinger, L. and Ernst, S. and Hauptmann, C. and Hotho, A.",zehe_team_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,UBC-NLP at SemEval-2019 task 4: Hyperpartisan news detection with attention-based Bi-LSTMs,2019,"Zhang, C. and Rajendran, A. and Abdul-Mageed, M.",zhang_ubc-nlp_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
ResearchRabbit,Political ideology detection of news articles using deep neural networks,2022,"M.~Alzhrani, K.",m_alzhrani_political_2022,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
ResearchRabbit,Predicting factuality of reporting and bias of news media sources,2018,"Baly, R., Karadzhov, G. Alexandrov, D.}, \bibinfo{author}{Glass, J.}, \bibinfo{author}{Nakov, P.",baly-etal-2018-predicting,dataset,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
ResearchRabbit,Testing and comparing computational approaches for identifying the language of framing in political news,2015,"\bibinfo{author}{Baumer, E.}, \bibinfo{author}{Elovic, E.}, \bibinfo{author}{Qin, Y.}, \bibinfo{author}{Polletta, F.}, \bibinfo{author}{Gay, G.}",baumer-etal-2015-testing,dataset,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
ResearchRabbit,In plain sight: Media bias through the lens of factual reporting,2019,"\bibinfo{author}{Fan, L.}, \bibinfo{author}{White, M.}, \bibinfo{author}{Sharma, E.}, \bibinfo{author}{Su, R.}, \bibinfo{author}{Choubey, P.K.}, \bibinfo{author}{Huang, R.}, \bibinfo{author}{Wang, L.},",fan-etal-2019-plain,dataset,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
ResearchRabbit,Team peter brinkmann at {SemEval}-2019 task 4: Detecting biased news articles using convolutional neural networks,2019,"\bibinfo{author}{Färber, M.}, \bibinfo{author}{Qurdina, A.}, \bibinfo{author}{Ahmedi, L.},",farber_team_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
ResearchRabbit,Detecting political bias in news articles using headline attention,2019,"\bibinfo{author}{Gangula, R.R.R.}, \bibinfo{author}{Duggenpudi, S.R.}, \bibinfo{author}{Mamidi, R.}",gangula_detecting_2019,dataset + results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
ResearchRabbit,Sampling the news producers: {A} large news and feature data set for the study of the complex media landscape,2018,"\bibinfo{author}{Horne, B.D.}, \bibinfo{author}{Dron, W.}, \bibinfo{author}{Khedr, S.}, \bibinfo{author}{Adali, S.},",Horne_News,dataset,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
ResearchRabbit,Multi-view models for political ideology detection of news articles,2018,"\bibinfo{author}{Kulkarni, V.}, \bibinfo{author}{Ye, J.}, \bibinfo{author}{Skiena, S.}, \bibinfo{author}{Wang, W.Y.},",kulkarni_multi-view_2018,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
ResearchRabbit,Using social and linguistic information to adapt pretrained representations for political perspective identification,2021,"\bibinfo{author}{Li, C.}, \bibinfo{author}{Goldwasser, D.}",li_using_2021,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
ResearchRabbit,Understanding characteristics of biased sentences in news articles,2018,"\bibinfo{author}{Jeong Lim, S.}, \bibinfo{author}{Jatowt, A.}, \bibinfo{author}{Yoshikawa, M.}",Lim2018UnderstandingCO,dataset,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
ResearchRabbit,{NLP}@{UIT} at {SemEval}-2019 task 4: The paparazzo hyperpartisan news detector,2019,"\bibinfo{author}{Nguyen, D.V.}, \bibinfo{author}{Dang, T.}, \bibinfo{author}{Nguyen, N.}",nguyen_nlpuit_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
ResearchRabbit,An evaluation of language models for hyperpartisan ideology detection in {P}ersian {T}witter,2024,"\bibinfo{author}{Omidi~Shayegan, S.}, \bibinfo{author}{Nejadgholi, I.}, \bibinfo{author}{Pelrine, K.}, \bibinfo{author}{Yu, H.}, \bibinfo{author}{Levy, S.}, \bibinfo{author}{Yang, Z.}, \bibinfo{author}{Godbout, J.F.}, \bibinfo{author}{Rabbany, R.}",omidi-shayegan-etal-2024-evaluation,dataset + results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
ResearchRabbit,Encoding social information with graph convolutional networks for{P}olitical perspective detection in news media,2019,"Li, C.",li-goldwasser-2019-encoding,dataset,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
ResearchRabbit,Automated stance detection in complex topics and small languages: The challenging case of immigration in polarizing news media,2024,"Mets, Mark AND Karjus, Andres AND Ibrus, Indrek AND Schich, Maximilian",Mets_PLOS,dataset,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
